Asset	Networks	Trading Pairs
Origin Token (OGN)	ERC20	OGN/USDT
OriginTrail (TRAC)	ERC20	TRAC/USDT
Pax Gold (PAXG)	ERC20	PAXG/USDT
Polkadot (DOT)	Polkadot	DOT/USDT
Polygon (MATIC)	Polygon/ERC20/BEP20	MATIC/USDT; MATIC/BTC; MATIC/ETH
Polymesh (POLYX)	Polymesh (memo required)	POLYX/USDT
Prom (PROM)	ERC20/BEP20	PROM/USDT
Qtum (QTUM)	Qtum	QTUM/USDT
Quant Network (QNT)	ERC20	QNT/USDT
Radicle (RAD)	ERC20	RAD/USDT
Ravencoin (RVN)	Ravencoin	RVN/USDT
Reef (REEF)	ERC20/BEP20	REEF/USDT
Ren (REN) 	ERC20	REN/USDT
Render Network (RNDR)	ERC20	RNDR/USDT
Request (REQ)	ERC20	REQ/USDT
Santos FC Fan Token (SANTOS)	BEP20	SANTOS/USDT
Shiba Inu (SHIB)	ERC20/BEP20	SHIB/USDT
SKALE Network (SKL)	ERC20	SKL/USDT
Smooth Love Potion (SLP)	ERC20/BEP20	SLP/USDT
Solana (SOL)	Solana	SOL/USDC; SOL/USDT; SOL/BTC; SOL/ETH
Stargate Finance (STG)	ERC20	STG/USDT
Stellar Lumens (XLM)	Stellar Lumens (memo required)	XLM/USDT
StormX (STMX)	ERC20	
STMX/USDT
Storj (STORJ)	ERC20	STORJ/USDT
Sui (SUI)	Sui	SUI/USDT
SuperRare (RARE)	ERC20	RARE/USDT
Sushi (SUSHI)	ERC20/BEP20	SUSHI/USDT
Synthetix Network Token (SNX)	ERC20/BEP20	SNX/USDT
Syscoin (SYS)	Syscoin	SYS/USDT
Tether (USDT)	ERC20/BEP2 (memo required)/BEP20/TRC20/Solana/Polygon/AVAXC	
USDT/USD

Ripple (XRP)	Ripple (memo required)	XRP/USDT
Tezos (XTZ)	Tezos/BEP20	XTZ/USDT
The Graph (GRT)	ERC20	GRT/USDT
The Sandbox (SAND)	ERC20	SAND/USDT
Theta Fuel (TFUEL)	Theta	THETA/USDT
Theta Network (THETA)	Theta	THETA/USDT
Threshold Network (T)	ERC20	T/USDT
True USD (TUSD)	ERC20	TUSD/USDT
Uniswap (UNI)	BEP2 (memo required)/ERC20/BEP20	UNI/USDT
USD Coin (USDC)	ERC20/BEP20/TRC20/Solana/AVAXC	USDC/USDT
Vechain (VET)	VeChain	VET/USDT
VeThor Token (VTHO)	VeChain	VTHO/USDT
Vite Network (VITE)	BEP20	VITE/USDT
Voxies (VOXEL)	Polygon	VOXEL/USDT
WAX Network (WAXP)	WAX (memo required)/ERC20	WAXP/USDT
Wrapped Bitcoin (WBTC)	ERC20	WBTC/BTC
yearn.finance (YFI)	ERC20	YFI/USDT
Zcash (ZEC)	Zcash/BEP20	ZEC/USDT
Zilliqa (ZIL)	Zilliqa	ZIL/USDT
